id,artistName,trackName,genre,bpm,key,length,embed
1,Ummet Ozcan,Spacecats,BigRoom,128,G min,4:30,<iframe width="560" height="315" src="https://www.youtube.com/embed/Dn3ZMhmmzK0" frameborder="0" allowfullscreen></iframe>
2,Julian Jordan,Pilot,BigRoom,128,E min,3:37,<iframe width="560" height="315" src="https://www.youtube.com/embed/PiP5qELw7tw" frameborder="0" allowfullscreen></iframe>
3,TJR,We Wanna Party,BigRoom,128,F min,3:18,<iframe width="560" height="315" src="https://www.youtube.com/embed/19hQe-NX7nk" frameborder="0" allowfullscreen></iframe>
4,VINAI,LIT,BigRoom,128,F# maj,3:15,<iframe width="560" height="315" src="https://www.youtube.com/embed/exauzUT68oM" frameborder="0" allowfullscreen></iframe>
5,Chuckie,High,BigRoom,128,F maj,3:28,<iframe width="560" height="315" src="https://www.youtube.com/embed/gDjHEgZbCl0" frameborder="0" allowfullscreen></iframe>
6,Lucas and Steve,Make It Right,FutureHouse,126,G min,4:08,<iframe width="560" height="315" src="https://www.youtube.com/embed/5aQqJLHpTqw" frameborder="0" allowfullscreen></iframe>
7,Don Diablo,Tonight,FutureHouse,126,B min,3:56,<iframe width="560" height="315" src="https://www.youtube.com/embed/WK1OFAiCg9g" frameborder="0" allowfullscreen></iframe>
8,R3hab and Quintino,Freak,FutureHouse,126,B min,3:54,<iframe width="560" height="315" src="https://www.youtube.com/embed/kQFywYvqhd0" frameborder="0" allowfullscreen></iframe>
9,Yolanda Be Cool,From Me To You,FutureHouse,124,D# maj,4:24,<iframe width="560" height="315" src="https://www.youtube.com/embed/DSnd2lcUum8" frameborder="0" allowfullscreen></iframe>
10,Sander Kleinenberg,Comedown,FutureHouse,125,B min,4:42,<iframe width="560" height="315" src="https://www.youtube.com/embed/fixpnK6_xhU" frameborder="0" allowfullscreen></iframe>
11,The Cube Guys,The Love,House,125,C min,6:12,<iframe width="560" height="315" src="https://www.youtube.com/embed/zP9puLZtZe0" frameborder="0" allowfullscreen></iframe>
12,Luca Debonaire,Wanna See Ya More,House,124,D# min,6:00,<iframe width="560" height="315" src="https://www.youtube.com/embed/_GFr9fGy6C0" frameborder="0" allowfullscreen></iframe>
13,Robbie Rivera,Pump It Up,House,125,B min,5:28,<iframe width="560" height="315" src="https://www.youtube.com/embed/m68v7kU6W8E" frameborder="0" allowfullscreen></iframe>
14,Vanucci,Right Spot,House,124,A# maj,7:21,<iframe width="560" height="315" src="https://www.youtube.com/embed/X3Q3BkbNPes" frameborder="0" allowfullscreen></iframe>
15,Jack Beats,Intermission,House,125,C min,4:30,<iframe width="560" height="315" src="https://www.youtube.com/embed/9ZMwmUbedM8" frameborder="0" allowfullscreen></iframe>
16,Jay Lumen,Dirty Groove,TechHouse,123,B min,6:52,<iframe width="560" height="315" src="https://www.youtube.com/embed/Ov9RdQj3sS4" frameborder="0" allowfullscreen></iframe>
17,Superlover,The Talking Machine,TechHouse,122,F# min,7:06,<iframe width="560" height="315" src="https://www.youtube.com/embed/go1JuOWBCp8" frameborder="0" allowfullscreen></iframe>
18,Mihalis Safras,Ida,TechHouse,124,B min,6:15,<iframe width="560" height="315" src="https://www.youtube.com/embed/r6bNiLSQ5Ms" frameborder="0" allowfullscreen></iframe>
19,Hobo,Magic Mirror,TechHouse,123,D# min,8:07,<iframe width="560" height="315" src="https://www.youtube.com/embed/UglCfol13dU" frameborder="0" allowfullscreen></iframe>
20,Emanuel Satie,Sound The Alarm,TechHouse,124,A min,6:45,<iframe width="560" height="315" src="https://www.youtube.com/embed/6uf-ma9ikrg" frameborder="0" allowfullscreen></iframe>
